condition,step,interval_first_step,train_loss,waveform_mse,weighted_envelope_mse,envelope_weight_at_interval_last_step,unweighted_envelope_interval_mean,unweighted_envelope_null_reason,component_source
time_init3_envelope,1500,1401,0.44658188638778834,0.40947223145806855,0.037109654853433434,0.4001600640256102,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1600,1501,0.43572534622586956,0.4016609940466995,0.034064352430508954,0.36014405762304924,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1700,1601,0.4256915257246838,0.39470562191954117,0.03098590382087566,0.32012805122048815,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1800,1701,0.41714268514053243,0.38926492363770926,0.027877761454539147,0.2801120448179272,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1900,1801,0.40815868591598997,0.383485260859321,0.024673425114287245,0.2400960384153662,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2000,1901,0.40074067339957686,0.3793804975131095,0.021360175782582314,0.2000800320128051,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2100,2001,0.39252466526803376,0.37462301561421113,0.017901649604995937,0.16006402561024413,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2200,2101,0.38534915787324336,0.3710551079851732,0.014294049679819853,0.12004801920768304,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2300,2201,0.37808995971357406,0.3676033987949552,0.01048656081840607,0.08003201280512207,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2400,2301,0.3709859226885529,0.3645198335546982,0.006466089155322566,0.04001600640256098,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2500,2401,0.3633663201836655,0.3611667446707987,0.0021995757045850674,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2600,2501,0.3590927853586205,0.3590927853586205,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2700,2601,0.3567426538927726,0.3567426538927726,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2800,2701,0.35426205570018543,0.35426205570018543,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,2900,2801,0.3526013760284707,0.3526013760284707,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3000,2901,0.35020151798508686,0.35020151798508686,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3100,3001,0.3481109967777213,0.3481109967777213,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3200,3101,0.34653195475660986,0.34653195475660986,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3300,3201,0.3445568988175411,0.3445568988175411,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3400,3301,0.342818780267077,0.342818780267077,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3500,3401,0.34105657359770947,0.34105657359770947,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3600,3501,0.33951978806482225,0.33951978806482225,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3700,3601,0.3379291614221508,0.3379291614221508,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3800,3701,0.33629444922170293,0.33629444922170293,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,3900,3801,0.33511086013725455,0.33511086013725455,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4000,3901,0.33348111104484457,0.33348111104484457,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4100,4001,0.3322038124860282,0.3322038124860282,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4200,4101,0.33075590958068424,0.33075590958068424,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4300,4201,0.32945640395266446,0.32945640395266446,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4400,4301,0.3280311405014951,0.3280311405014951,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4500,4401,0.3267874541390864,0.3267874541390864,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4600,4501,0.3257870474136766,0.3257870474136766,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4700,4601,0.3242777226535043,0.3242777226535043,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4800,4701,0.32274078898741393,0.32274078898741393,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,4900,4801,0.32189745411484894,0.32189745411484894,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,5000,4901,0.32053778595894117,0.32053778595894117,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
